Term,Definition
Agreement,A manifestation of mutual assent between a number of parties
Obligation,An action that one has to do
Enforcement,The act of compelling compliance with an obligation
Contract,An agreement that creates an obligation with an enforcement mechanism
Contract system,A system for creating and enforcing contracts
Legal contract,"An agreement recognized and enforced by the state, typically through a system of laws, courts, and police"
Smart contract,An agreement written in code and implemented by a technical system such as a virtual world or blockchain
Informal agreement,"An agreement without an explicit enforcement mechanism, but which is often enforced through social norms or reputation management [2]"
Joint account,"A digital representation of an n-person agreement, akin to a user account"
Registration,"The process of recording or representing an agreement, usually by a qualified authority"
Authentication,The process of submitting a registered agreement to an enforcement mechanism
